lat,lng,date,crime
40.69490919,-73.9114842,1/9/15,ROBBERY
40.82988489,-73.93676171,1/9/15,ROBBERY
40.81950962,-73.95358254,1/9/15,ROBBERY
40.69831785,-73.98176047,1/9/15,ROBBERY
40.68094876,-73.91820161,1/9/15,ROBBERY
40.85385338,-73.91768895,1/9/15,ROBBERY
40.63651781,-74.13299984,1/9/15,ROBBERY
40.87540168,-73.8648872,1/9/15,ROBBERY
40.84471337,-73.89398683,1/9/15,ROBBERY
40.8346691,-73.90501395,1/9/15,ROBBERY
40.84310629,-73.84637934,1/9/15,ROBBERY
40.79848316,-73.94914747,1/9/15,ROBBERY
40.66778741,-73.9005871,1/9/15,ROBBERY
40.69086638,-73.98584806,1/9/15,ROBBERY
40.60787451,-73.98162671,1/9/15,ROBBERY
40.81930745,-73.90235509,1/9/15,ROBBERY
40.64315411,-74.01235743,1/9/15,ROBBERY
40.63662455,-73.95550765,1/9/15,ROBBERY
40.69207038,-73.9519043,1/9/15,ROBBERY
40.71867186,-73.95683454,1/9/15,ROBBERY
40.67429241,-73.87511843,1/9/15,ROBBERY
40.82742105,-73.91290142,1/9/15,ROBBERY
40.83342907,-73.8931303,1/9/15,ROBBERY
40.81555911,-73.92158385,1/9/15,ROBBERY
40.76474001,-73.88514337,1/9/15,ROBBERY
40.79625437,-73.9734557,1/9/15,ROBBERY
40.79679044,-73.93940441,1/9/15,ROBBERY
40.64975625,-73.95038159,1/9/15,ROBBERY
40.82885105,-73.94383419,1/9/15,RAPE
40.67933735,-73.9303752,1/9/15,ROBBERY
40.63023041,-74.16221591,1/9/15,ROBBERY
40.75691762,-73.82794205,1/9/15,ROBBERY
40.75686098,-73.87565666,1/9/15,RAPE
40.8525439,-73.85810903,1/9/15,ROBBERY
40.67458331,-73.93022154,1/10/15,RAPE
40.63587546,-74.00558607,1/10/15,ROBBERY
40.60300084,-73.97323002,1/10/15,ROBBERY
40.82773845,-73.94757859,1/10/15,ROBBERY
40.80391599,-73.96702313,1/10/15,ROBBERY
40.81039602,-73.92531074,1/10/15,RAPE
40.67970041,-73.77604737,1/10/15,RAPE
40.81667044,-73.88799816,1/10/15,ROBBERY
40.61830141,-74.03317262,1/10/15,ROBBERY
40.6944925,-73.9373445,1/10/15,ROBBERY
40.68379864,-73.9618905,1/10/15,ROBBERY
40.70045509,-73.90308456,1/10/15,ROBBERY
40.83732351,-73.91983076,1/10/15,RAPE
40.70933199,-73.94524061,1/10/15,ROBBERY
40.67170959,-73.9350227,1/10/15,ROBBERY
40.58196632,-73.95994336,1/10/15,ROBBERY
40.81867845,-73.91568756,1/10/15,ROBBERY
40.86985687,-73.89930517,1/10/15,ROBBERY
40.68904826,-73.95861698,1/10/15,ROBBERY
40.86905853,-73.87963015,1/10/15,ROBBERY
40.8223244,-73.92502999,1/10/15,ROBBERY
40.70081052,-73.82337316,1/10/15,ROBBERY
40.73957294,-73.9952345,1/10/15,ROBBERY
40.82655623,-73.93801869,1/10/15,ROBBERY
40.85779531,-73.89776536,1/10/15,ROBBERY
40.86487617,-73.90360418,1/10/15,ROBBERY
40.73814298,-74.00295321,1/10/15,ROBBERY
40.74344587,-74.00169759,1/10/15,ROBBERY
40.78675438,-73.94216163,1/10/15,ROBBERY
40.60798478,-73.97069258,1/10/15,ROBBERY
40.65584983,-73.73544818,1/10/15,ROBBERY
40.67694687,-73.87039063,1/10/15,ROBBERY
40.78872124,-73.93999677,1/10/15,ROBBERY
40.68180551,-73.98308819,1/10/15,ROBBERY
40.69356003,-73.92917394,1/10/15,ROBBERY
40.85022332,-73.93216991,1/10/15,ROBBERY
40.67041625,-73.95045274,1/10/15,ROBBERY
40.66844212,-73.92412152,1/11/15,ROBBERY
40.78464921,-73.8527541,1/11/15,ROBBERY
40.65169816,-73.86844676,1/11/15,ROBBERY
40.77958723,-73.98182487,1/11/15,ROBBERY
40.67590223,-73.79095665,1/11/15,ROBBERY
40.82993956,-73.86591542,1/11/15,ROBBERY
40.81698565,-73.84701407,1/11/15,ROBBERY
40.60754237,-74.15993508,1/11/15,ROBBERY
40.67458331,-73.93022154,1/11/15,RAPE
40.84558768,-73.88141835,1/11/15,ROBBERY
40.72184257,-73.73067666,1/11/15,ROBBERY
40.74446478,-73.88815925,1/11/15,ROBBERY
40.75244266,-73.87131932,1/11/15,ROBBERY
40.82844107,-73.88104782,1/11/15,ROBBERY
40.8038484,-73.95399801,1/11/15,ROBBERY
40.75590985,-73.88211581,1/11/15,ROBBERY
40.70431847,-73.9192333,1/11/15,ROBBERY
40.66482824,-73.88830358,1/11/15,ROBBERY
40.6448324,-73.95800299,1/11/15,ROBBERY
40.58646553,-73.81652172,1/11/15,RAPE
40.83013239,-73.88991235,1/11/15,ROBBERY
40.70243943,-73.81715468,1/11/15,ROBBERY
40.86368262,-73.88879028,1/11/15,ROBBERY
40.82812593,-73.87128497,1/11/15,ROBBERY
40.5950463,-73.76016371,1/11/15,ROBBERY
40.82950143,-73.86920095,1/11/15,ROBBERY
40.66142218,-73.92181911,1/11/15,ROBBERY
40.72544017,-73.99467268,1/11/15,ROBBERY
40.68772017,-73.85009792,1/11/15,ROBBERY
40.74525274,-73.87006287,1/11/15,RAPE
40.66185862,-73.95890778,1/11/15,ROBBERY
40.77982072,-73.95326357,1/11/15,ROBBERY
40.69576184,-73.89408664,1/11/15,ROBBERY
40.82665092,-73.86789492,1/11/15,ROBBERY
40.81278338,-73.90923937,1/11/15,ROBBERY
40.82488497,-73.89945994,1/11/15,ROBBERY
40.8231013,-73.86969046,1/11/15,ROBBERY
40.86432972,-73.86739346,1/11/15,ROBBERY
40.67696036,-73.93034884,1/11/15,ROBBERY
40.71803315,-73.97974574,1/11/15,ROBBERY
40.83276353,-73.86800203,1/11/15,ROBBERY
40.81307907,-73.92335333,1/11/15,ROBBERY
40.60492597,-73.97808022,1/11/15,ROBBERY
40.83309884,-73.91903,1/11/15,ROBBERY
40.7274847,-73.74340799,1/11/15,ROBBERY
40.59428418,-73.78860161,1/11/15,ROBBERY
40.69313709,-73.83133409,1/11/15,ROBBERY
40.81909584,-73.94285249,1/11/15,ROBBERY
40.71980688,-73.95347159,1/11/15,ROBBERY
40.69074379,-73.80053443,1/11/15,ROBBERY
40.67510388,-74.00557133,1/11/15,ROBBERY
40.82208253,-73.89033033,1/11/15,ROBBERY
40.80069433,-73.94110929,1/11/15,ROBBERY
40.84988916,-73.91648297,1/11/15,ROBBERY
40.67494495,-73.96487698,1/11/15,ROBBERY
40.75085402,-73.86938785,1/11/15,ROBBERY
40.8034245,-73.95801491,1/11/15,ROBBERY
40.60093626,-73.94781067,1/11/15,ROBBERY
40.82387628,-73.89186297,1/11/15,ROBBERY
40.68357505,-73.92148666,1/11/15,ROBBERY
40.82208253,-73.89033033,1/11/15,ROBBERY
40.70532768,-73.93524962,1/11/15,ROBBERY
40.64143241,-74.0178197,1/11/15,ROBBERY
